period,country,country_code,ecb_rate,inflation,gdp_growth,credit_growth,year,quarter,period_str
2003Q1,Allemagne,DEU,2.195,1.616,2.386,1.453,2003,1,2003Q1
2003Q2,Allemagne,DEU,2.181,1.767,2.216,1.471,2003,2,2003Q2
2003Q3,Allemagne,DEU,2.121,2.115,1.613,1.057,2003,3,2003Q3
2003Q4,Allemagne,DEU,2.353,1.85,2.106,0.953,2003,4,2003Q4
2004Q1,Allemagne,DEU,2.511,1.692,2.303,1.692,2004,1,2004Q1
2004Q2,Allemagne,DEU,2.458,2.055,2.74,1.116,2004,2,2004Q2
2004Q3,Allemagne,DEU,2.746,2.009,2.054,1.466,2004,3,2004Q3
2004Q4,Allemagne,DEU,2.837,1.986,2.828,1.49,2004,4,2004Q4
2005Q1,Allemagne,DEU,2.744,1.777,2.783,1.46,2005,1,2005Q1
2005Q2,Allemagne,DEU,2.97,1.977,2.393,0.503,2005,2,2005Q2
2005Q3,Allemagne,DEU,2.77,1.642,2.142,0.922,2005,3,2005Q3
2005Q4,Allemagne,DEU,3.053,1.515,2.843,2.111,2005,4,2005Q4
2006Q1,Allemagne,DEU,3.255,1.9,2.861,1.63,2006,1,2006Q1
2006Q2,Allemagne,DEU,3.173,2.006,2.812,0.46,2006,2,2006Q2
2006Q3,Allemagne,DEU,3.518,2.086,3.079,1.134,2006,3,2006Q3
2006Q4,Allemagne,DEU,3.436,2.296,3.168,1.697,2006,4,2006Q4
2007Q1,Allemagne,DEU,3.598,2.022,-4.046,-3.534,2007,1,2007Q1
2007Q2,Allemagne,DEU,3.816,1.962,-6.027,-2.815,2007,2,2007Q2
2007Q3,Allemagne,DEU,3.965,2.01,-0.903,-1.611,2007,3,2007Q3
2007Q4,Allemagne,DEU,3.815,1.761,1.16,0.505,2007,4,2007Q4
2008Q1,Allemagne,DEU,4.166,3.125,1.869,-0.955,2008,1,2008Q1
2008Q2,Allemagne,DEU,3.561,2.735,1.217,-1.464,2008,2,2008Q2
2008Q3,Allemagne,DEU,3.068,2.646,0.568,-1.182,2008,3,2008Q3
2008Q4,Allemagne,DEU,2.68,1.774,1.274,1.064,2008,4,2008Q4
2009Q1,Allemagne,DEU,2.274,1.643,0.374,1.202,2009,1,2009Q1
2009Q2,Allemagne,DEU,1.815,1.389,0.25,0.67,2009,2,2009Q2
2009Q3,Allemagne,DEU,1.377,0.401,0.26,2.575,2009,3,2009Q3
2009Q4,Allemagne,DEU,0.988,0.347,-0.412,0.768,2009,4,2009Q4
2010Q1,Allemagne,DEU,0.979,1.226,-0.975,1.525,2010,1,2010Q1
2010Q2,Allemagne,DEU,1.11,1.525,-1.156,0.328,2010,2,2010Q2
2010Q3,Allemagne,DEU,1.24,1.485,-1.184,0.669,2010,3,2010Q3
2010Q4,Allemagne,DEU,1.208,1.702,-1.537,1.028,2010,4,2010Q4
2011Q1,Allemagne,DEU,1.456,1.866,0.292,0.871,2011,1,2011Q1
2011Q2,Allemagne,DEU,1.148,1.732,0.916,1.826,2011,2,2011Q2
2011Q3,Allemagne,DEU,1.458,2.396,0.829,2.44,2011,3,2011Q3
2011Q4,Allemagne,DEU,1.486,2.631,0.823,1.075,2011,4,2011Q4
2012Q1,Allemagne,DEU,1.533,2.647,0.4,1.971,2012,1,2012Q1
2012Q2,Allemagne,DEU,1.295,2.242,0.322,0.684,2012,2,2012Q2
2012Q3,Allemagne,DEU,1.303,2.717,0.999,2.163,2012,3,2012Q3
2012Q4,Allemagne,DEU,1.299,1.677,0.88,3.164,2012,4,2012Q4
2013Q1,Allemagne,DEU,1.261,2.197,1.979,0.398,2013,1,2013Q1
2013Q2,Allemagne,DEU,1.291,2.199,2.45,1.925,2013,2,2013Q2
2013Q3,Allemagne,DEU,1.18,2.094,1.317,2.638,2013,3,2013Q3
2013Q4,Allemagne,DEU,1.03,1.475,1.866,2.576,2013,4,2013Q4
2014Q1,Allemagne,DEU,1.041,1.482,1.794,2.991,2014,1,2014Q1
2014Q2,Allemagne,DEU,0.974,1.372,1.755,2.282,2014,2,2014Q2
2014Q3,Allemagne,DEU,0.971,0.849,1.819,3.029,2014,3,2014Q3
2014Q4,Allemagne,DEU,0.975,1.311,2.274,2.893,2014,4,2014Q4
2015Q1,Allemagne,DEU,0.765,1.035,1.49,3.856,2015,1,2015Q1
2015Q2,Allemagne,DEU,0.624,1.347,1.723,3.249,2015,2,2015Q2
2015Q3,Allemagne,DEU,0.776,1.121,1.832,3.311,2015,3,2015Q3
2015Q4,Allemagne,DEU,0.672,1.684,1.44,2.445,2015,4,2015Q4
2016Q1,Allemagne,DEU,0.55,1.108,2.449,3.117,2016,1,2016Q1
2016Q2,Allemagne,DEU,0.569,0.788,2.203,3.135,2016,2,2016Q2
2016Q3,Allemagne,DEU,0.625,0.8,3.145,4.17,2016,3,2016Q3
2016Q4,Allemagne,DEU,0.414,0.726,1.936,3.171,2016,4,2016Q4
2017Q1,Allemagne,DEU,0.359,0.483,-13.757,-3.203,2017,1,2017Q1
2017Q2,Allemagne,DEU,0.268,1.183,-3.874,2.53,2017,2,2017Q2
2017Q3,Allemagne,DEU,0.242,0.582,6.705,6.535,2017,3,2017Q3
2017Q4,Allemagne,DEU,0.322,0.418,5.535,5.036,2017,4,2017Q4
2018Q1,Allemagne,DEU,0.171,0.102,3.244,5.449,2018,1,2018Q1
2018Q2,Allemagne,DEU,0.127,0.71,3.198,3.988,2018,2,2018Q2
2018Q3,Allemagne,DEU,0.063,0.067,2.367,2.562,2018,3,2018Q3
2018Q4,Allemagne,DEU,-0.101,0.249,3.03,3.763,2018,4,2018Q4
2019Q1,Allemagne,DEU,-0.005,-0.068,2.472,2.841,2019,1,2019Q1
2019Q2,Allemagne,DEU,-0.114,0.951,1.849,3.55,2019,2,2019Q2
2019Q3,Allemagne,DEU,-0.192,1.917,2.736,4.009,2019,3,2019Q3
2019Q4,Allemagne,DEU,-0.232,2.789,1.944,4.741,2019,4,2019Q4
2020Q1,Allemagne,DEU,-0.303,3.402,1.832,3.48,2020,1,2020Q1
2020Q2,Allemagne,DEU,-0.37,4.59,2.038,2.822,2020,2,2020Q2
2020Q3,Allemagne,DEU,-0.49,5.111,1.299,3.265,2020,3,2020Q3
2020Q4,Allemagne,DEU,-0.256,6.011,2.029,0.69,2020,4,2020Q4
2021Q1,Allemagne,DEU,-0.582,7.263,0.887,2.014,2021,1,2021Q1
2021Q2,Allemagne,DEU,-0.11,8.005,0.59,1.691,2021,2,2021Q2
2021Q3,Allemagne,DEU,0.28,8.671,1.339,-0.298,2021,3,2021Q3
2021Q4,Allemagne,DEU,0.832,9.404,0.932,0.937,2021,4,2021Q4
2022Q1,Allemagne,DEU,1.191,9.102,-0.192,-0.413,2022,1,2022Q1
2022Q2,Allemagne,DEU,1.581,8.912,0.31,-1.052,2022,2,2022Q2
2022Q3,Allemagne,DEU,1.958,7.783,0.02,-0.303,2022,3,2022Q3
2022Q4,Allemagne,DEU,2.192,6.31,-0.224,1.162,2022,4,2022Q4
2023Q1,Allemagne,DEU,2.768,6.02,1.212,-0.245,2023,1,2023Q1
2023Q2,Allemagne,DEU,3.146,4.669,1.09,-0.138,2023,2,2023Q2
2023Q3,Allemagne,DEU,3.743,3.947,-0.497,-1.684,2023,3,2023Q3
2023Q4,Allemagne,DEU,3.962,2.88,0.756,-1.282,2023,4,2023Q4
2003Q1,France,FRA,2.391,1.91,1.904,3.038,2003,1,2003Q1
2003Q2,France,FRA,2.33,1.961,1.72,3.637,2003,2,2003Q2
2003Q3,France,FRA,2.549,1.977,1.384,1.725,2003,3,2003Q3
2003Q4,France,FRA,2.654,2.025,2.047,3.303,2003,4,2003Q4
2004Q1,France,FRA,2.748,1.841,1.89,3.01,2004,1,2004Q1
2004Q2,France,FRA,2.841,2.58,2.346,3.316,2004,2,2004Q2
2004Q3,France,FRA,3.094,2.365,3.285,3.433,2004,3,2004Q3
2004Q4,France,FRA,3.034,2.573,2.574,5.063,2004,4,2004Q4
2005Q1,France,FRA,3.097,2.223,2.858,2.43,2005,1,2005Q1
2005Q2,France,FRA,3.196,1.92,2.703,2.447,2005,2,2005Q2
2005Q3,France,FRA,3.294,2.042,2.508,2.192,2005,3,2005Q3
2005Q4,France,FRA,3.465,2.094,4.134,2.866,2005,4,2005Q4
2006Q1,France,FRA,3.636,2.026,2.722,2.06,2006,1,2006Q1
2006Q2,France,FRA,3.499,2.419,3.235,3.951,2006,2,2006Q2
2006Q3,France,FRA,3.757,2.2,2.854,3.862,2006,3,2006Q3
2006Q4,France,FRA,3.959,2.148,2.942,1.99,2006,4,2006Q4
2007Q1,France,FRA,3.967,2.198,-4.339,-1.536,2007,1,2007Q1
2007Q2,France,FRA,4.255,2.305,-5.236,-0.97,2007,2,2007Q2
2007Q3,France,FRA,4.087,2.166,-0.134,0.537,2007,3,2007Q3
2007Q4,France,FRA,4.13,2.412,0.613,1.868,2007,4,2007Q4
2008Q1,France,FRA,4.231,3.26,1.484,1.656,2008,1,2008Q1
2008Q2,France,FRA,3.98,3.227,1.138,0.12,2008,2,2008Q2
2008Q3,France,FRA,3.499,2.987,1.203,3.257,2008,3,2008Q3
2008Q4,France,FRA,2.939,2.093,1.526,4.145,2008,4,2008Q4
2009Q1,France,FRA,2.581,1.775,0.855,1.962,2009,1,2009Q1
2009Q2,France,FRA,2.073,0.953,-0.445,2.053,2009,2,2009Q2
2009Q3,France,FRA,1.867,0.654,0.28,3.171,2009,3,2009Q3
2009Q4,France,FRA,1.329,0.259,0.108,3.552,2009,4,2009Q4
2010Q1,France,FRA,1.279,1.104,-0.609,3.401,2010,1,2010Q1
2010Q2,France,FRA,1.415,1.994,-0.428,4.452,2010,2,2010Q2
2010Q3,France,FRA,1.451,1.459,-0.864,2.36,2010,3,2010Q3
2010Q4,France,FRA,1.625,1.606,-1.678,1.298,2010,4,2010Q4
2011Q1,France,FRA,1.522,1.741,0.582,1.833,2011,1,2011Q1
2011Q2,France,FRA,1.642,2.217,0.157,2.063,2011,2,2011Q2
2011Q3,France,FRA,1.92,2.401,1.153,2.928,2011,3,2011Q3
2011Q4,France,FRA,1.847,3.164,1.152,4.482,2011,4,2011Q4
2012Q1,France,FRA,1.938,2.202,0.532,2.237,2012,1,2012Q1
2012Q2,France,FRA,1.604,2.618,0.194,2.891,2012,2,2012Q2
2012Q3,France,FRA,1.54,2.582,0.787,2.989,2012,3,2012Q3
2012Q4,France,FRA,1.628,2.015,1.642,4.504,2012,4,2012Q4
2013Q1,France,FRA,1.613,2.138,1.336,5.558,2013,1,2013Q1
2013Q2,France,FRA,1.61,2.482,2.684,3.352,2013,2,2013Q2
2013Q3,France,FRA,1.316,1.833,1.551,3.185,2013,3,2013Q3
2013Q4,France,FRA,1.507,2.039,1.808,4.522,2013,4,2013Q4
2014Q1,France,FRA,1.256,1.856,2.167,4.551,2014,1,2014Q1
2014Q2,France,FRA,1.216,1.688,1.64,5.418,2014,2,2014Q2
2014Q3,France,FRA,1.125,1.343,1.657,4.41,2014,3,2014Q3
2014Q4,France,FRA,1.092,1.562,1.866,3.636,2014,4,2014Q4
2015Q1,France,FRA,1.197,1.38,1.503,4.293,2015,1,2015Q1
2015Q2,France,FRA,0.975,1.122,1.796,5.08,2015,2,2015Q2
2015Q3,France,FRA,0.913,0.9,2.0,4.992,2015,3,2015Q3
2015Q4,France,FRA,0.82,1.603,2.004,4.645,2015,4,2015Q4
2016Q1,France,FRA,0.825,1.054,3.386,5.866,2016,1,2016Q1
2016Q2,France,FRA,0.993,0.967,1.444,4.993,2016,2,2016Q2
2016Q3,France,FRA,0.802,1.092,2.552,5.782,2016,3,2016Q3
2016Q4,France,FRA,0.641,0.766,1.858,4.972,2016,4,2016Q4
2017Q1,France,FRA,0.596,0.722,-13.421,-2.601,2017,1,2017Q1
2017Q2,France,FRA,0.563,0.752,-3.903,1.98,2017,2,2017Q2
2017Q3,France,FRA,0.344,0.424,6.091,7.63,2017,3,2017Q3
2017Q4,France,FRA,0.53,0.373,4.642,5.047,2017,4,2017Q4
2018Q1,France,FRA,0.386,0.576,3.382,5.603,2018,1,2018Q1
2018Q2,France,FRA,0.418,0.147,3.824,5.173,2018,2,2018Q2
2018Q3,France,FRA,0.407,0.305,2.911,5.12,2018,3,2018Q3
2018Q4,France,FRA,0.287,0.096,3.349,6.556,2018,4,2018Q4
2019Q1,France,FRA,0.219,0.329,2.527,5.21,2019,1,2019Q1
2019Q2,France,FRA,0.122,1.387,2.812,5.079,2019,2,2019Q2
